Nombre,Posición,Nacionalidad,Edad,Equipo,Valor de Mercado en 01/01/2024,Valor de Mercado Actual,Incremento (%),Incremento (€)
Jeanuël Belocian,Defensa central,Francia/Guadalupe,19,Bayer 04 Leverkusen,9.00 mill.,20.00 mill.,122.2,+11.00 mill.
Xavi Simons,Mediocentro ofensivo,Países Bajos/Surinam,21,RB Leipzig,70.00 mill.,80.00 mill.,14.3,+10.00 mill.
Alejandro Grimaldo,Lateral izquierdo,España,29,Bayer 04 Leverkusen,35.00 mill.,45.00 mill.,28.6,+10.00 mill.
Jamie Leweling,Extremo derecho,Alemania/Ghana,23,VfB Stuttgart,4.50 mill.,13.00 mill.,188.9,+8.50 mill.
Hiroki Ito,Defensa central,Japón,25,Bayern Múnich,22.00 mill.,30.00 mill.,36.4,+8.00 mill.
Ermedin Demirovic,Delantero centro,Bosnia y Herzegovina,26,VfB Stuttgart,20.00 mill.,28.00 mill.,40.0,+8.00 mill.
David Raum,Lateral izquierdo,Alemania,26,RB Leipzig,17.00 mill.,25.00 mill.,47.1,+8.00 mill.
Jonathan Burkardt,Delantero centro,Alemania,24,1.FSV Mainz 05,7.00 mill.,15.00 mill.,114.3,+8.00 mill.
Konstantinos Koulierakis,Defensa central,Grecia,20,VfL Wolfsburgo,4.50 mill.,12.00 mill.,166.7,+7.50 mill.
Karim Adeyemi,Extremo izquierdo,Alemania/Nigeria,22,Borussia Dortmund,28.00 mill.,35.00 mill.,25.0,+7.00 mill.
Jamie Gittens,Extremo izquierdo,Inglaterra/Barbados,20,Borussia Dortmund,28.00 mill.,35.00 mill.,25.0,+7.00 mill.
Igor Matanovic,Delantero centro,Croacia/Alemania,21,Eintracht Fráncfort​​,1.00 mill.,8.00 mill.,700.0,+7.00 mill.
Romano Schmid,Mediocentro ofensivo,Austria,24,SV Werder Bremen,6.50 mill.,13.00 mill.,100.0,+6.50 mill.
Robin Hranac,Defensa central,República Checa,24,TSG 1899 Hoffenheim,1.70 mill.,8.00 mill.,370.6,+6.30 mill.
Robert Andrich,Pivote,Alemania,30,Bayer 04 Leverkusen,11.00 mill.,17.00 mill.,54.5,+6.00 mill.
Mohamed Amoura,Delantero centro,Argelia,24,VfL Wolfsburgo,10.00 mill.,16.00 mill.,60.0,+6.00 mill.
Merlin Röhl,Mediocentro ofensivo,Alemania,22,SC Friburgo,6.00 mill.,12.00 mill.,100.0,+6.00 mill.
Eren Dinkçi,Extremo derecho,Turquía/Alemania,22,SC Friburgo,6.00 mill.,12.00 mill.,100.0,+6.00 mill.
Justin Njinmah,Extremo derecho,Alemania/Nigeria,23,SV Werder Bremen,3.00 mill.,9.00 mill.,200.0,+6.00 mill.
Felix Agu,Lateral derecho,Alemania/Nigeria,25,SV Werder Bremen,600 mil,6.00 mill.,900.0,+5.40 mill.
Loïs Openda,Delantero centro,Bélgica/Marruecos,24,RB Leipzig,55.00 mill.,60.00 mill.,9.1,+5.00 mill.
Exequiel Palacios,Mediocentro,Argentina,26,Bayer 04 Leverkusen,40.00 mill.,45.00 mill.,12.5,+5.00 mill.
Edmond Tapsoba,Defensa central,Burkina Faso,25,Bayer 04 Leverkusen,40.00 mill.,45.00 mill.,12.5,+5.00 mill.
Victor Boniface,Delantero centro,Nigeria,23,Bayer 04 Leverkusen,40.00 mill.,45.00 mill.,12.5,+5.00 mill.
Donyell Malen,Extremo derecho,Países Bajos/Surinam,25,Borussia Dortmund,35.00 mill.,40.00 mill.,14.3,+5.00 mill.
Nico Schlotterbeck,Defensa central,Alemania,24,Borussia Dortmund,35.00 mill.,40.00 mill.,14.3,+5.00 mill.
Piero Hincapié,Defensa central,Ecuador,22,Bayer 04 Leverkusen,35.00 mill.,40.00 mill.,14.3,+5.00 mill.
Amine Adli,Extremo izquierdo,Marruecos/Francia,24,Bayer 04 Leverkusen,25.00 mill.,30.00 mill.,20.0,+5.00 mill.
Jonathan Tah,Defensa central,Alemania/Costa de Marfil,28,Bayer 04 Leverkusen,25.00 mill.,30.00 mill.,20.0,+5.00 mill.
Chris Führich,Extremo izquierdo,Alemania,26,VfB Stuttgart,17.00 mill.,22.00 mill.,29.4,+5.00 mill.
Antonio Nusa,Extremo izquierdo,Noruega/Nigeria,19,RB Leipzig,17.00 mill.,22.00 mill.,29.4,+5.00 mill.
Julian Ryerson,Lateral derecho,Noruega/Estados Unidos,26,Borussia Dortmund,15.00 mill.,20.00 mill.,33.3,+5.00 mill.
Nadiem Amiri,Mediocentro,Alemania/Afganistán,28,1.FSV Mainz 05,4.00 mill.,9.00 mill.,125.0,+5.00 mill.
Robin Hack,Extremo izquierdo,Alemania,26,Borussia Mönchengladbach,3.00 mill.,8.00 mill.,166.7,+5.00 mill.
